animal,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
flea,F,F,V,F,F,F,F,F,F,V,F,F,6,F,F,F,insect
frog,F,F,V,F,F,V,V,V,V,V,F,F,4,F,F,F,amphibian
frog,F,F,V,F,F,V,V,V,V,V,V,F,4,F,F,F,amphibian
fruitbat,V,F,F,V,V,F,F,V,V,V,F,F,2,V,F,F,mammal
giraffe,V,F,F,V,F,F,F,V,V,V,F,F,4,V,F,V,mammal
girl,V,F,F,V,F,F,V,V,V,V,F,F,2,F,V,V,mammal
gnat,F,F,V,F,V,F,F,F,F,V,F,F,6,F,F,F,insect
goat,V,F,F,V,F,F,F,V,V,V,F,F,4,V,V,V,mammal
gorilla,V,F,F,V,F,F,F,V,V,V,F,F,2,F,F,V,mammal
gull,F,V,V,F,V,V,V,F,V,V,F,F,2,V,F,F,bird
haddock,F,F,V,F,F,V,F,V,V,F,F,V,0,V,F,F,fish
hamster,V,F,F,V,F,F,F,V,V,V,F,F,4,V,V,F,mammal
hare,V,F,F,V,F,F,F,V,V,V,F,F,4,V,F,F,mammal
hawk,F,V,V,F,V,F,V,F,V,V,F,F,2,V,F,F,bird
herring,F,F,V,F,F,V,V,V,V,F,F,V,0,V,F,F,fish
honeybee,V,F,V,F,V,F,F,F,F,V,V,F,6,F,V,F,insect
housefly,V,F,V,F,V,F,F,F,F,V,F,F,6,F,F,F,insect
kiwi,F,V,V,F,F,F,V,F,V,V,F,F,2,V,F,F,bird
ladybird,F,F,V,F,V,F,V,F,F,V,F,F,6,F,F,F,insect
lark,F,V,V,F,V,F,F,F,V,V,F,F,2,V,F,F,bird
leopard,V,F,F,V,F,F,V,V,V,V,F,F,4,V,F,V,mammal
lion,V,F,F,V,F,F,V,V,V,V,F,F,4,V,F,V,mammal
lobster,F,F,V,F,F,V,V,F,F,F,F,F,6,F,F,F,invertebrate
lynx,V,F,F,V,F,F,V,V,V,V,F,F,4,V,F,V,mammal
mink,V,F,F,V,F,V,V,V,V,V,F,F,4,V,F,V,mammal
mole,V,F,F,V,F,F,V,V,V,V,F,F,4,V,F,F,mammal
mongoose,V,F,F,V,F,F,V,V,V,V,F,F,4,V,F,V,mammal
moth,V,F,V,F,V,F,F,F,F,V,F,F,6,F,F,F,insect
newt,F,F,V,F,F,V,V,V,V,V,F,F,4,V,F,F,amphibian
octopus,F,F,V,F,F,V,V,F,F,F,F,F,8,F,F,V,invertebrate
opossum,V,F,F,V,F,F,V,V,V,V,F,F,4,V,F,F,mammal
oryx,V,F,F,V,F,F,F,V,V,V,F,F,4,V,F,V,mammal
ostrich,F,V,V,F,F,F,F,F,V,V,F,F,2,V,F,V,bird
parakeet,F,V,V,F,V,F,F,F,V,V,F,F,2,V,V,F,bird
penguin,F,V,V,F,F,V,V,F,V,V,F,F,2,V,F,V,bird
pheasant,F,V,V,F,V,F,F,F,V,V,F,F,2,V,F,F,bird
pike,F,F,V,F,F,V,V,V,V,F,F,V,0,V,F,V,fish
piranha,F,F,V,F,F,V,V,V,V,F,F,V,0,V,F,F,fish
pitviper,F,F,V,F,F,F,V,V,V,V,V,F,0,V,F,F,reptile
platypus,V,F,V,V,F,V,V,F,V,V,F,F,4,V,F,V,mammal
polecat,V,F,F,V,F,F,V,V,V,V,F,F,4,V,F,V,mammal
pony,V,F,F,V,F,F,F,V,V,V,F,F,4,V,V,V,mammal
porpoise,F,F,F,V,F,V,V,V,V,V,F,V,0,V,F,V,mammal
puma,V,F,F,V,F,F,V,V,V,V,F,F,4,V,F,V,mammal
pussycat,V,F,F,V,F,F,V,V,V,V,F,F,4,V,V,V,mammal
raccoon,V,F,F,V,F,F,V,V,V,V,F,F,4,V,F,V,mammal
reindeer,V,F,F,V,F,F,F,V,V,V,F,F,4,V,V,V,mammal
rhea,F,V,V,F,F,F,V,F,V,V,F,F,2,V,F,V,bird
scorpion,F,F,F,F,F,F,V,F,F,V,V,F,8,V,F,F,invertebrate
seahorse,F,F,V,F,F,V,F,V,V,F,F,V,0,V,F,F,fish
seal,V,F,F,V,F,V,V,V,V,V,F,V,0,F,F,V,mammal
sealion,V,F,F,V,F,V,V,V,V,V,F,V,2,V,F,V,mammal
seasnake,F,F,F,F,F,V,V,V,V,F,V,F,0,V,F,F,reptile
seawasp,F,F,V,F,F,V,V,F,F,F,V,F,0,F,F,F,invertebrate
skimmer,F,V,V,F,V,V,V,F,V,V,F,F,2,V,F,F,bird
skua,F,V,V,F,V,V,V,F,V,V,F,F,2,V,F,F,bird
slowworm,F,F,V,F,F,F,V,V,V,V,F,F,0,V,F,F,reptile
slug,F,F,V,F,F,F,F,F,F,V,F,F,0,F,F,F,invertebrate
sole,F,F,V,F,F,V,F,V,V,F,F,V,0,V,F,F,fish
sparrow,F,V,V,F,V,F,F,F,V,V,F,F,2,V,F,F,bird
squirrel,V,F,F,V,F,F,F,V,V,V,F,F,2,V,F,F,mammal
starfish,F,F,V,F,F,V,V,F,F,F,F,F,5,F,F,F,invertebrate
stingray,F,F,V,F,F,V,V,V,V,F,V,V,0,V,F,V,fish
swan,F,V,V,F,V,V,F,F,V,V,F,F,2,V,F,V,bird
termite,F,F,V,F,F,F,F,F,F,V,F,F,6,F,F,F,insect
toad,F,F,V,F,F,V,F,V,V,V,F,F,4,F,F,F,amphibian
tortoise,F,F,V,F,F,F,F,F,V,V,F,F,4,V,F,V,reptile
tuatara,F,F,V,F,F,F,V,V,V,V,F,F,4,V,F,F,reptile
tuna,F,F,V,F,F,V,V,V,V,F,F,V,0,V,F,V,fish
vampire,V,F,F,V,V,F,F,V,V,V,F,F,2,V,F,F,mammal
vole,V,F,F,V,F,F,F,V,V,V,F,F,4,V,F,F,mammal
vulture,F,V,V,F,V,F,V,F,V,V,F,F,2,V,F,V,bird
wallaby,V,F,F,V,F,F,F,V,V,V,F,F,2,V,F,V,mammal
wasp,V,F,V,F,V,F,F,F,F,V,V,F,6,F,F,F,insect
wolf,V,F,F,V,F,F,V,V,V,V,F,F,4,V,F,V,mammal
worm,F,F,V,F,F,F,F,F,F,V,F,F,0,F,F,F,invertebrate
wren,F,V,V,F,V,F,F,F,V,V,F,F,2,V,F,F,bird
